,Country,Exported_wine(US$)
0,France,10965230.0
1,Italy,7324366.0
2,Spain,3124227.0
3,Australia,2084813.0
4,Chile,1929016.0
5,US,1385199.0
6,New Zealand,1216911.0
7,Germany,1156792.0
8,Portugal,919737.0
9,United Kingdom,836637.0
10,Argentina,797567.0
11,South Africa,662977.0
12,Singapore,517938.0
13,Netherlands,393040.0
14,Latvia,281939.0
15,Austria,224825.0
16,Georgia,222945.0
17,Belgium,201669.0
18,Hong Kong,192843.0
19,Lithuania,184222.0
20,Denmark,175304.0
21,Switzerland,114144.0
22,Hungary,111839.0
23,Moldova,97739.0
24,China,91920.0
25,Greece,89017.0
26,Canada,64923.0
27,Thailand,52605.0
28,North Macedonia,51831.0
29,Israel,50612.0
30,Bulgaria,39571.0
31,Romania,35129.0
32,Sweden,32792.0
33,Czech Republic,30886.0
34,Slovakia,30350.0
35,Poland,29759.0
36,Estonia,28577.0
37,Finland,26106.0
38,Luxembourg,25978.0
39,Malaysia,25569.0
40,Serbia,20895.0
41,Ireland,20201.0
42,Macao,20069.0
43,Lebanon,18384.0
44,Croatia,18229.0
45,Slovenia,17701.0
46,Uruguay,16526.0
47,Montenegro,14175.0
48,Norway,13900.0
49,Morocco,12023.0
50,Armenia,11833.0
51,Russia,9898.0
52,Turkey,9887.0
53,India,9247.0
54,Brazil,8040.0
55,Azerbaijan,7309.0
56,United Arab Emirates,7117.0
57,Uzbekistan,5950.0
58,Ukraine,5000.0
59,Bosnia/Herzegovina,4023.0
60,Mexico,3529.0
61,Taiwan,2635.0
62,Namibia,2602.0
63,Cyprus,2460.0
64,Togo,1713.0
65,Japan,1573.0
66,Barbados,1561.0
67,Panama,1393.0
68,Vietnam,1275.0
69,Peru,1172.0
70,Malta,1131.0
71,Albania,1104.0
72,Guatemala,905.0
73,Jamaica,705.0
74,Belarus,697.0
75,Kyrgyzstan,644.0
76,Burkina Faso,546.0
77,Mauritius,491.0
78,Eswatini,489.0
79,Algeria,470.0
80,Philippines,445.0
81,Tunisia,421.0
82,South Korea,419.0
83,Dominican Republic,398.0
84,Ethiopia,297.0
85,Senegal,236.0
86,Bolivia,231.0
87,Curaçao,225.0
88,Nepal,217.0
89,Sri Lanka,210.0
90,Aruba,199.0
91,Kazakhstan,150.0
92,Iceland,145.0
93,Cuba,138.0
94,Maldives,127.0
95,Antigua/Barbuda,125.0
96,Syria,123.0
97,Oman,107.0
98,Andorra,100.0
99,Iran,90.0
100,Zambia,83.0
101,Saint Lucia,81.0
102,Sao Tome/Principe,80.0
103,Palestine,65.0
104,Bhutan,56.0
105,Ivory Coast,54.0
106,Uganda,49.0
107,Mozambique,45.0
108,Colombia,38.0
109,Madagascar,36.0
110,Cameroon,34.0
111,Benin,31.0
112,Trinidad/Tobago,31.0
113,Kenya,26.0
114,Bermuda,22.0
115,Afghanistan,21.0
116,Malawi,21.0
117,Guyana,18.0
118,St Vincent/Grenadines,18.0
119,Egypt,18.0
120,Indonesia,17.0
121,Cayman Islands,16.0
122,Fiji,14.0
123,American Samoa,13.0
124,Zimbabwe,13.0
125,New Caledonia,12.0
126,Dominica,11.0
127,French S./Antarctic Terr,10.0
128,Ghana,10.0
129,Bahrain,9.0
130,Qatar,9.0
131,Venezuela,9.0
132,Cambodia,8.0
133,Faroe Islands,8.0
134,Jordan,7.0
135,Botswana,5.0
136,Belize,5.0
137,British Virgin Is,4.0
138,Angola,3.0
139,French Polynesia,3.0
140,Seychelles,3.0
141,Somalia,2.0
142,El Salvador,2.0
143,Central African Rep,2.0
144,Guinea,2.0
145,Mauritania,1.0
146,Costa Rica,1.0
147,Djibouti,1.0
148,Suriname,1.0
